parentTconst,seasonNumber,episodeNumber,averageRating,numVotes
tt0907683,1.0,7.0,6.5,1615.0
tt0159876,2.0,2.0,6.9,56.0
tt0806910,1.0,384.0,6.4,62.0
tt0159876,21.0,11.0,6.6,31.0
tt0806910,1.0,189.0,6.2,56.0
tt0806910,1.0,387.0,6.7,73.0
tt0806910,1.0,245.0,5.6,46.0
tt0046593,12.0,17.0,7.9,33.0
tt0806910,1.0,381.0,5.0,30.0
tt0806910,1.0,248.0,7.0,72.0
tt0046593,11.0,15.0,7.0,15.0
tt0486531,6.0,22.0,7.3,252.0
tt0094416,9.0,1.0,8.5,121.0
tt0806910,1.0,178.0,6.3,41.0
tt0159876,26.0,15.0,8.6,358.0
tt0806910,1.0,386.0,6.7,82.0
tt0806910,1.0,388.0,6.7,144.0
tt0806910,1.0,190.0,5.3,41.0
tt0806910,1.0,151.0,6.3,52.0
tt0159876,13.0,17.0,,
tt0806910,1.0,203.0,6.2,27.0
tt0806910,1.0,275.0,5.9,53.0
tt0092455,5.0,18.0,8.9,5310.0
tt0806910,1.0,389.0,6.5,65.0
tt0806910,1.0,210.0,5.3,26.0
tt0046593,6.0,1.0,7.6,77.0
tt0806910,1.0,177.0,5.6,43.0
tt0806910,1.0,391.0,5.2,58.0
tt0806910,1.0,183.0,5.6,50.0
tt0088559,1.0,1.0,7.8,2419.0
tt0806910,1.0,202.0,6.2,43.0
tt0206501,26.0,1.0,7.1,19.0
tt0806910,1.0,219.0,6.1,55.0
tt0806910,1.0,392.0,5.9,49.0
tt0080231,1.0,3.0,6.8,820.0
tt0046593,26.0,14.0,5.6,84.0
tt0806910,1.0,394.0,6.6,57.0
tt0806910,1.0,116.0,6.1,33.0
tt0149314,3.0,1.0,8.3,417.0
tt0806910,1.0,410.0,6.1,54.0
tt0806910,1.0,393.0,4.9,38.0
tt0806910,1.0,395.0,5.5,36.0
tt0149314,5.0,2.0,7.6,44.0
tt0806910,1.0,268.0,7.0,57.0
tt0806910,1.0,120.0,6.0,45.0
